FR,EN
rivage,shore
pieds,feet
espoir,hope
enfant,child
temps,weather
par,by
moi,me
ceux,those
avoir,have
vous,you
leur,their
décimal,decimal
doux,gentle
depuis,since
énergie,energy
dur,hard
étaient,were
organe,organ
sang,blood
aller,go
plus,most
sept,seven
signifier,mean
envisager,consider
facilité,ease
médecin,doctor
pendant,during
liquide,liquid
notre,our
anneau,ring
peu,little
balle,ball
tel,such
plus,more
pays,country
bateau,boat
surface,surface
école,school
chiffre,numeral
entendre,hear
air,air
vers le bas,down
que,than
carte,map
soudain,sudden
compter,count
avis,notice
chose,thing
alimentation,supply
il,he
feutre,felt
poser,lay
faire,do
entreprise,company
âge,age
glissement,slip
essayer,try
jour,day
apporté,brought
porte,door
fait,did
papa,dad
bâton,stick
mieux,better
changement,change
suivre,follow
gris,gray
inventer,invent
proposition,offer
pièce,piece
lune,moon
couvercle,cover
maintenant,now
guider,guide
fille,girl
graphique,chart
lent,slow
solution,solution
position,position
énorme,huge
fournir,provide
femmes,women
coquille,shell
neige,snow
score,score
où,where
arrière,back
elle,she
bien,well
carré,square
eu,had
sat,sat
courir,run
tous,every
se mettre d’accord,agree
sélectionner,select
chambre,room
encore,yet
siècle,century
avec,with
milieu,middle
protéger,protect
place,spot
pain,bread
voiture,car
oui,yes
ajouter,add
arriver,happen
machine,machine
désert,desert
contenir,contain
problème,problem
bureau,office
modèle,pattern
observer,observe
dire,say
ouest,west
comparer,compare
minuscule,tiny
cloche,bell
forêt,forest
mine,mine
section,section
costume,suit
faible,low
mesurer,measure
s’adapter,fit
a,has
dire,tell
est,is
à partir de,from
lavage,wash
chaîne,string
chaud,hot
pauvres,poor
beauté,beauty
beaucoup,many
vers,toward
sauvage,wild
est,east
varier,vary
symbole,symbol
oxygène,oxygen
moins,least
rail,rail
moderne,modern
peupler,populate
fraction,fraction
quotient,quotient
présent,present
être,be
chien,dog
ligne,line
ainsi,thus
test,test
rouge,red
mince,thin
mère,parent
banque,bank
mois,month
soins,care
beaucoup,much
fin,fine
fabriqué,made
décès,death
exciter,excite
toujours,always
espace,space
argent,money
mot,word
côté,side
quand,when
qui,which
plein,full
saison,season
matériel,material
étoile,star
lire,read
rire,laugh
tête,head
juste,fair
représenter,represent
eu,got
net,sharp
imaginer,imagine
cas,case
midi,noon
occupé,busy
écouter,listen
sud,south
livre,book
fils,son
toucher,touch
étude,study
recueillir,collect
porter,bear
paragraphe,paragraph
déterminer,determine
porter,carry
cercle,circle
LED,led
interroger,ask
simple,simple
triangle,triangle
femme,wife
juste,just
contrôle,control
train,train
degré,degree
pose,pose
peut,may
assez,enough
chaise,chair
sont,are
pourrait,could
corde,rope
a augmenté,grew
jeter,throw
mais,but
grandiose,grand
mélodie,melody
supporter,stand
loin,far
épaule,shoulder
figure,figure
pomme,apple
mort,dead
joindre,join
grand,great
coupe,cut
chaud,warm
table,table
brûler,burn
temps,time
aile,wing
prouver,prove
capitaine,captain
principal,main
sauver,save
lit,bed
soustraire,subtract
exercice,exercise
homme,man
croire,believe
aider,help
pied,foot
lui,him
horloge,clock
magasin,store
monture,mount
aussi,also
puis,then
face,face
il ya,ago
propre,proper
odeur,smell
liste,list
chemin,path
outil,tool
sol,ground
donné,gave
lieu,place
son,her
alimentation,feed
nous,us
sommeil,sleep
regarder,look
que,what
droit,right
moment,moment
succès,success
station,station
rien,nothing
danger,danger
suivant,next
vivre,live
court,short
os,bone
total,total
idée,idea
ces,these
matin,morning
pistolet,gun
vague,wave
sauf,except
vie,life
moitié,half
ils,they
support,support
voudrais,would
méthode,method
dictionnaire,dictionary
épeler,spell
semence,seed
brun,brown
frais,fresh
piste,track
neuf,nine
manteau,coat
dehors,out
deuxième,second
garder,keep
nécessaire,necessary
million,million
Arrêtez,stop
correct,correct
danse,dance
lointain,distant
un,one
intérêt,interest
direct,direct
sable,sand
est allé,went
choisir,pick
apporter,bring
joie,joy
besoin,need
