FR,EN
J'ai chaud,I am hot
C'est la galère,It's a struggle
T'as capé ?,Did you get it?
Ça roule ?,What's up? (Literally: It rolls?)
C'est bidon,It's rubbish
C'est n'importe quoi,That's nonsense
J'en ai marre,I've had enough
Lâche-moi,Leave me alone
Nickel,Perfect
On se capte plus tard,Let's catch up later
Pas de souci,No worries
Tu déconnes,You're kidding
Vas-y,Go ahead
C'est la loose,That's lame
Tu m'étonnes,You don't say
Je kiffe,I dig it / I really like it
Trop fort,Too cool/awesome
Ça gaze ?,How's it going?
Zéro,Nada/Nothing
Fais gaffe,Watch out
C'est le feu,It's lit
C'est chaud,That's tough/difficult
Tu charries,You're exaggerating
Je suis claqué,I'm beat/exhausted
T'inquiète,Don't worry
C'est la honte,That's embarrassing
Mortel,Awesome
T'es sérieux ?,Are you serious?
Je me casse,I'm leaving
Arrête ton cinéma,Cut the drama
J'ai la flemme,I can't be bothered
Quoi de neuf ?,What's new?
C'est dingue,That's crazy
C'est pas vrai,No way
Ça coûte la peau des fesses,That's expensive
C'est la base,It's fundamental
C'est canon,That's cool
T'as les boules,You're upset
C'est zarbi,That's weird
Je capte pas,I don't get it
Ça craint,That sucks
J'ai un creux,I'm a bit hungry
Ça me saoule,It annoys me
T'es relou,You're annoying
C'est clair,That's clear/obvious
Ça déchire,That rocks
Franchement,Honestly
C'est chelou,That's shady
Tu te fous de ma gueule?,Are you fucking kidding me?
On va bien se marrer.,We are going to have fun.
Il m’a enfumé,He fooled me.
Celles qui m’échappent,The ones I don’t understand
Comment ça va ?,How's it going?
Quelle heure est-il ?,What time is it?
"Pouvez-vous m'aider, s'il vous plaît?","Can you help me, please?"
"Je voudrais un café, s'il vous plaît.","I would like a coffee, please."
Où sont les toilettes ?,Where is the bathroom?
Je ne comprends pas.,I don't understand.
Pouvez-vous parler plus lentement ?,Can you speak more slowly?
Combien ça coûte ?,How much does it cost?
Je suis perdu(e).,I am lost.
Avez-vous des recommandations ?,Do you have any recommendations?
Tu fais quoi ce week-end ?,What are you doing this weekend?
On se fait une sortie demain ?,Shall we go out tomorrow?
J'en ai marre du boulot.,I'm fed up with work.
T'as entendu les dernières nouvelles ?,Have you heard the latest news?
"Elle est pas mal, ta nouvelle coupe de cheveux !",Your new haircut looks good!
Je me suis éclaté à la fête hier soir.,I had a blast at the party last night.
Il faut qu'on parle de ce projet.,We need to talk about this project.
J'arrive pas à croire qu'il ait fait ça.,I can't believe he did that.
Tu veux qu'on se capte après les cours ?,Do you want to meet up after class?
C'est dingue comme le temps passe vite !,It's crazy how fast time flies!
Ça te dirait de prendre un verre ce soir ?,Would you like to grab a drink tonight?
"J'ai trop de boulot, je suis débordé(e).","I have too much work, I'm swamped."
On se fait une soirée cinéma à la maison ?,How about a movie night at home?
"Tu peux me passer le sel, s'il te plaît ?","Can you pass the salt, please?"
Qu'est-ce que tu penses de cette idée ?,What do you think of this idea?
J'ai besoin de vacances pour décompresser.,I need a vacation to unwind.
"Elle connaît tout le monde ici, c'est incroyable.","She knows everyone here, it's incredible."
T'as vu le dernier épisode de cette série ?,Have you seen the latest episode of that show?
On pourrait faire du covoiturage pour aller au boulot.,We could carpool to go to work.
"Il fait un temps magnifique aujourd'hui, non ?","It's beautiful weather today, isn't it?"
On a complètement oublié de lui acheter un cadeau.,We completely forgot to buy him a gift.
"J'adore ce resto, mais c'est toujours plein à craquer.","I love this restaurant, but it's always packed."
"Il a un sens de l'humour un peu bizarre, tu trouves pas ?","He has a bit of a weird sense of humor, don't you think?"
On se retrouve où pour le dîner ?,Where are we meeting for dinner?
Tu m'envoies l'adresse par message ?,Can you send me the address by message?
"Je peux pas ce soir, j'ai déjà un autre engagement.","I can't tonight, I already have another commitment."
"Cette ville est sympa, mais un peu trop bruyante pour moi.","This city is nice, but a bit too noisy for me."
Tu as entendu parler de cette nouvelle application ?,Have you heard about this new app?
On devrait se faire un barbecue ce week-end.,We should have a barbecue this weekend.
Tu as réussi à réparer ton ordinateur finalement ?,Did you manage to fix your computer eventually?
Ça te dérangerait de garder mon chat ce week-end ?,Would you mind looking after my cat this weekend?
Tu pourrais m'éclairer sur ce sujet ?,Could you enlighten me on this topic?
"Cette situation est kafkaïenne, tu ne trouves pas ?","This situation is Kafkaesque, don't you think?"
J'aspire à un mode de vie plus équilibré.,I aspire to a more balanced lifestyle.
"Son approche est un peu désuète, mais efficace.","His approach is a bit outdated, but effective."
On a atteint un consensus après de longs débats.,We reached a consensus after long debates.
Cette œuvre d'art évoque des sentiments contradictoires.,This piece of art evokes contradictory feelings.
"Ils ont une relation tumultueuse, mais passionnée.","They have a tumultuous, but passionate relationship."
Cette décision soulève un dilemme moral complexe.,This decision raises a complex moral dilemma.
Nous vivons une époque sans précédent.,We're living in an unprecedented era.
Il cultive une aura de mystère volontairement.,He deliberately cultivates an aura of mystery.
Le paysage politique actuel est assez polarisé.,The current political landscape is quite polarized.
Cette stratégie requiert une analyse approfondie.,This strategy requires thorough analysis.
Ils ont un penchant pour l'avant-garde dans leur travail.,They have a penchant for the avant-garde in their work.
Peut-on vraiment concilier progrès et tradition ?,Can we really reconcile progress and tradition?
Sa vision du monde est teintée d'un optimisme prudent.,His worldview is tinged with cautious optimism.
Cette nouvelle technologie est à la croisée des chemins entre science et éthique.,This new technology is at the crossroads of science and ethics.
Le vernissage de l'exposition était un événement mondain notable.,The exhibition opening was a notable social event.
La complexité de ce problème transcende les frontières disciplinaires.,The complexity of this problem transcends disciplinary boundaries.
Il aborde la vie avec une joie de vivre contagieuse.,He approaches life with a contagious joie de vivre.
Nous devons tenir compte des nuances culturelles dans nos analyses.,We must consider cultural nuances in our analyses.
Ça craint du boudin.,That really sucks. (Literally: It fears the sausage.)
J'ai la flemme de sortir ce soir.,I can't be bothered to go out tonight.
Cette soirée était trop stylée !,That party was so cool!
On se fait une bouffe ce week-end ?,Shall we get together for a meal this weekend?
"Il est complètement à l'ouest, ce type.",He's totally out of it.
"J'ai trop de taf, je suis charrette !","I have too much work, I'm swamped!"
"Elle a un crush sur toi, c'est obvious.","She has a crush on you, it's obvious."
Ce film était ouf !,That movie was crazy! (Ouf is verlan for fou.)
Je suis claqué après cette rando.,I'm exhausted after that hike.
"T'inquiète, on gère.","Don't worry, we got this."
Il s'est fait carotte son vélo.,His bike got stolen. (Literally: His bike got carroted.)
Ils se sont mis bien hier soir.,They had a great time last night. (Literally: They put themselves well.)
C'est relou de se lever tôt.,It's annoying to get up early.
"Mon pote, t'es grave en mode zombie.","Dude, you're totally like a zombie."
"Je vais me pieuter, je suis naze.","I'm going to crash, I'm knackered."
"T'as un bol de malade, mec.","You're insanely lucky, dude."
Elle a zappé notre rendez-vous.,She forgot our meeting.
